ds,yhat,yhat_lower,yhat_upper
1970-01-31,9.73348090833885,3.332325716362074,16.217130894271957
1970-02-28,8.784909771554984,2.4294652383531767,15.642001692308831
1970-03-31,11.780367393108637,4.785017970300016,18.551458120145146
1970-04-30,11.571680810820737,4.699600753715479,18.804328803924953
1970-05-31,10.786604849597609,3.692827551725989,17.88532437239973
1970-06-30,9.06238056308883,2.3233918278411703,16.08781256740355
1970-07-31,9.777852379453106,3.077272303100049,17.089667066148483
1970-08-31,9.960605730351451,3.205553410360569,16.85231264304827
1970-09-30,10.777640344620046,3.8920752186731895,17.450757071334436
1970-10-31,11.051111382241952,4.016654370431178,17.87094920568638
1970-11-30,10.328606824445306,3.5053131660561245,17.859505481993327
1970-12-31,10.029201701803,2.9213982087299764,17.000357933336502
1971-01-31,9.478805899018113,2.698755755915275,15.514668788885247
1971-02-28,8.015957587544499,1.3650335981013777,15.228230087686716
1971-03-31,12.993970530452621,6.671619047961563,19.43775743778801
1971-04-30,11.279354023509388,4.1101657475921725,17.492622100475053
1971-05-31,10.922385409722017,4.60235511219772,18.120820107058734
1971-06-30,7.971993496500973,0.9464659623010185,15.169515388712695
1971-07-31,10.02590723832857,3.3184599516611577,16.824693608137377
1971-08-31,9.51790062540453,2.6977133752013045,15.919081290442968
1971-09-30,11.281789169924084,4.679784698473164,18.34572171931301
1971-10-31,11.352101873533343,4.758836351507643,17.96078059243447
1971-11-30,9.759354419337711,3.445599427433026,16.26977152348531
1971-12-31,9.976870644082949,2.6976707575316974,16.686537885332392
1972-01-31,9.219302435049359,2.032065187604484,15.591354868352163
1972-02-29,10.009045172305237,3.039885327788919,16.55562068602032
1972-03-31,8.99857024776919,2.193367618384183,15.956686488723081
1972-04-30,11.72240995039601,5.569880372434564,18.623172035363353
1972-05-31,10.08336220465333,3.73804895996002,17.161884883422964
1972-06-30,10.864425224607269,3.4637575322705576,17.426072248097537
1972-07-31,8.936537374722057,2.3210643178438866,15.300292814118455
1972-08-31,10.494473662858521,3.6955347226841524,17.209401543999466
1972-09-30,9.411438104332953,2.6234153850085726,16.138235882040224
1972-10-31,10.024486002884572,3.2103162036269586,16.487369908926848
1972-11-30,11.05600194274495,4.63755178805071,17.846777870046893
1972-12-31,9.748631826724932,3.417737674545132,16.20318093949897
1973-01-31,9.600738737621427,2.896813639157759,15.960975150648244
1973-02-28,9.194641823981787,3.0696538386496828,15.869112798969937
1973-03-31,10.193333671639927,3.6241156655655478,16.709766326365262
1973-04-30,11.46451519579875,5.174360442157334,18.431639841282216
1973-05-31,10.252149286926215,3.8311802842353853,17.157999091115133
1973-06-30,9.772101414001753,2.9322380895645677,16.61626673550467
1973-07-31,9.159948654662125,2.1325755491408684,15.32116443661484
1973-08-31,10.031405683003621,3.1230322659977223,16.6413287523395
1973-09-30,9.899150041278752,2.992402808534814,16.733650976857344
1973-10-31,10.353600161891743,3.4374157298708714,16.814217424537375
1973-11-30,10.50618489706237,3.4506438633777154,17.508037564723296
1973-12-31,9.698397502204788,3.4704756070325207,16.48235944186059
1974-01-31,9.351304620228536,2.6685235041033977,16.404583102339135
1974-02-28,8.402733492062264,1.6548020721266403,15.274050457414043
1974-03-31,11.398191123157286,4.68534564016799,18.010251191082627
1974-04-30,11.189504550101955,4.203798816308182,17.685053903005734
1974-05-31,10.4044285984194,4.070810412743136,17.105774951115396
1974-06-30,8.680204321143808,2.500050684371694,14.849329592319238
1974-07-31,9.395676147048553,2.8477215478651665,16.170556741770188
1974-08-31,9.578429517931195,2.5199177048203167,16.602785808246832
1974-09-30,10.395464151540601,3.5065138345924693,17.49320476359181
1974-10-31,10.668935209146493,3.9769351857274446,17.32091938773622
1974-11-30,9.946430670688981,2.855874169141316,16.329173034546802
1974-12-31,9.647025568031287,3.1855210190888505,16.516923256943087
1975-01-31,9.096629785231253,2.3891820919835904,16.3658290159879
1975-02-28,7.6337814918076745,1.359187881348104,14.128363174126028
1975-03-31,12.611794454700355,6.189472531557297,19.395175262479178
1975-04-30,10.897177967096088,3.9894462524575633,17.470458231054693
1975-05-31,10.540209373293564,4.4208465406533,17.900019685246754
1975-06-30,7.589817479411365,0.9763671764735177,14.373564930363194
1975-07-31,9.643731241223922,2.987193074066088,16.32179697997985
1975-08-31,9.135724650453898,2.511301146756872,15.995593391364737
1975-09-30,10.899613216412307,4.622926747778013,17.807739761206346
1975-10-31,10.969925942175335,4.416027109274401,17.694004054812257
1975-11-30,9.377178509418515,2.818360896623506,16.604881633006666
1975-12-31,9.594694756317804,3.1045322590793356,16.243980571346572
1976-01-31,8.837126569437686,1.9586485263304443,15.37299576464814
1976-02-29,9.628025837500859,2.768578779637484,15.96504147765464
1976-03-31,8.618787204517147,1.603406701421885,15.292669942924224
1976-04-30,11.343823318324823,4.816337921735232,17.739201512192803
1976-05-31,9.706011864134732,2.6754457750037974,15.916152211695922
1976-06-30,10.488271295267635,3.723732471583231,17.403525165332358
1976-07-31,8.561619736935807,1.7999168889389412,14.706756060649344
1976-08-31,10.120792316624378,3.785500175852959,16.494474614112626
1976-09-30,9.038953169278642,2.3486550220883733,15.38136682793694
1976-10-31,9.65323735938358,2.560549337508602,16.412359666984358
1976-11-30,10.685949710423184,3.6253599107559777,17.070522951623396
1976-12-31,9.379815885956093,2.1795608537713513,15.768922810749824
1977-01-31,9.233159088405312,2.2726531248800446,15.926361438802731
1977-02-28,8.828178814622968,2.461664798573234,15.634954679171463
1977-03-31,9.828106942124812,3.1043749665091265,16.559303353894023
1977-04-30,11.10048486613021,4.571860694416567,18.084861356980195
